cbsa,pop,med_income,laborforce,employed,proptax,employment_rate
10020,58041,21933,26990,24897,240,0.922452760281586
10100,40612,27081,22781,22095,1767,0.969887186690663
10140,72272,22049,32368,27434,1509,0.84756549678695
10180,165083,22407,79106,70659,1267,0.89321922483756
10220,37438,21724,19158,17859,537,0.932195427497651
10260,19458,,5979,4600,247,0.769359424652952
10300,99878,23428,48814,42966,1999,0.880198303765313
10380,305538,,98173,75707,353,0.771159076324448
10420,702966,26109,374541,336146,2234,0.897487858472103
10460,64176,20712,28224,22843,592,0.809346655328798
10500,157634,20567,71893,61582,1146,0.856578526421209
10540,116871,23701,54434,49018,2090,0.90050336186942
10580,870890,31077,471782,436085,3826,0.924335816118461
10620,60489,22268,29810,26056,995,0.874069104327407
10660,31188,24530,16417,15582,1205,0.94913808856673
10700,93070,20484,42190,38301,452,0.907821758710595
10740,885683,26438,443222,403339,1541,0.910015748315742
10760,52839,20321,23703,20851,286,0.879677677931064
10780,153704,20790,67665,61881,454,0.914520062070494
10820,36167,25883,19512,18393,1578,0.942650676506765
10860,41014,19975,18457,17100,925,0.926477759115783
10880,111589,24819,55387,50565,2043,0.912939859533826
10900,821273,27607,427438,389409,3552,0.91103037165624
10940,42340,20870,18759,16482,1286,0.878618263233648
10980,29602,21068,13949,12350,1288,0.885368126747437
11020,127133,22731,62709,57879,1078,0.92297756302923
11060,26275,23858,12934,10701,538,0.827354260089686
11100,250224,25498,127296,120792,1942,0.948906485671191
11140,37388,18884,17125,14856,980,0.867503649635036
11180,89734,21072,52639,49541,2196,0.941146298371929
11220,50025,23905,24291,21503,2884,0.885224980445433
11260,380789,33219,211440,185897,3383,0.879195043511162
11300,131244,24806,62374,55181,895,0.884679513900023
11340,187228,22841,89215,79421,705,0.890220254441518
11380,15006,28053,7305,6907,909,0.945516769336071
11420,34116,23338,18334,16381,808,0.893476600850878
11460,346010,29197,186321,169510,3910,0.909773992196263
11500,117834,19649,54173,46788,428,0.863677477710299
11540,225737,30403,126725,119732,2937,0.944817518248175
11580,34628,18192,14093,12258,1098,0.86979351451075
11620,57007,21654,26098,24718,654,0.947122384857077
11660,23050,15072,10915,9635,513,0.882730187814934
11700,425219,24194,211076,192827,1186,0.913542989255055
11740,53203,23000,26729,23780,1478,0.889670395450634
11780,101262,20734,47290,42033,1500,0.888834848805244
11820,37068,22840,19101,16930,1846,0.886341029265484
11860,16854,21557,8255,7561,1360,0.915929739551787
11900,64592,12641,29732,26257,1487,0.883122561549845
11940,52325,20340,23488,21069,550,0.897011239782016
11980,78558,21384,34488,31341,1096,0.90875086986778
12020,193309,21145,92387,85262,1528,0.922878759998701
12060,5291701,29490,2803000,2492259,1799,0.889139850160542
12100,274402,26924,147279,129418,4978,0.878726770279538
12140,42218,24729,21182,18765,852,0.885893683316023
12180,79996,26004,40438,37066,2699,0.916613086700628
12220,140938,21080,71251,63363,752,0.889292781855693
12260,556938,24233,264284,230515,923,0.872224576591848
12300,122022,25211,63904,58528,1766,0.915873810716074
12380,39115,25405,20301,19101,1065,0.940889611349195
12420,1731777,30621,953224,880341,3861,0.923540531921143
12460,27815,20095,11436,10466,748,0.915180132913606
12540,839153,21005,365138,314751,1795,0.86200559788354
12580,2715650,34303,1481097,1349408,2765,0.911086849814698
12620,153742,21058,80724,74423,1627,0.921943907635895
12660,61953,26905,35245,32916,2947,0.933919704922684
12700,216021,31001,110878,101753,2701,0.917702339508288
12740,59462,29439,33684,31606,3659,0.938308989431184
12780,51112,25034,24497,22875,887,0.933787810752337
12820,27893,18531,11156,9966,253,0.893330942990319
12860,59992,26110,32347,29842,2910,0.922558506198411
12900,36572,20001,16928,15463,512,0.913456994328923
12940,802389,25874,409110,378381,704,0.924888171885312
12980,136063,22131,66429,57476,1891,0.865224525433169
13020,107633,23690,52807,46888,1808,0.887912587346375
13060,36653,21529,17231,15527,1188,0.901108467297313
13100,22209,24555,11554,10842,1934,0.938376319889216
13140,388430,23260,178454,161671,1411,0.905953354926199
13180,88741,26915,47382,43967,3010,0.927926216706766
13220,78852,20859,31853,29885,467,0.938216180579537
13260,46131,21908,21307,19171,788,0.899751255455954
13300,32083,18662,10835,9796,949,0.904107060452238
13340,45816,25021,22792,20326,1445,0.891804141804142
13380,201404,24486,106269,96174,2300,0.905005222595489
13420,44652,21092,22891,20487,1411,0.894980560045433
13460,158884,26014,80463,70758,2458,0.879385556094105
13500,28750,16822,10806,9151,360,0.846844345733852
13540,36990,24592,20109,18686,3367,0.929235665622358
13620,39188,22533,19775,18146,2613,0.917623261694058
13660,42947,17319,20167,17063,1406,0.846085188674567
13700,34927,22152,13467,12521,782,0.929754214004604
13740,158248,26420,86929,82535,1669,0.949453001875094
13780,250995,24058,126495,115915,2610,0.916360330447844
13820,1128093,25486,556631,502103,748,0.902039232453816
13860,18474,26641,9610,8911,1533,0.927263267429761
13900,109380,30630,63608,61286,2337,0.963495157841781
13940,45312,21304,20346,18967,975,0.932222549886956
13980,162708,19033,80302,74171,1065,0.923650718537521
14020,192663,18995,97794,89846,955,0.918727120273227
14060,169689,27979,94504,88146,3374,0.932722424447642
14100,85227,23149,42222,39706,1458,0.94041021268533
14140,107097,19178,43465,40549,473,0.932911538019096
14180,46388,18107,20708,18157,378,0.876810894340352
14220,47025,17597,18376,15356,291,0.835655202437963
14260,619618,25227,311069,279755,1386,0.899334231312024
14300,33867,21402,14861,13704,1325,0.922145212300653
14340,26324,27318,14270,13574,1647,0.951226348983882
14380,51103,14558,27740,25241,941,0.909913482335977
14420,21992,25061,10239,9461,884,0.924016017189179
14460,4563673,33889,2570531,2363468,4341,0.919447382661403
14500,297218,30714,170258,158407,2203,0.930393872828296
14540,125928,21158,65136,58836,909,0.903279292557111
14580,90339,25899,52978,49576,2020,0.93578466533278
14620,43451,21392,20214,18047,1224,0.892797071336698
14660,91040,23998,44878,40714,1189,0.90721511653817
14700,83564,19521,39969,35649,759,0.891916235082189
14740,251400,30764,129062,106749,2643,0.827114100199904
14780,33628,22772,15234,14597,2089,0.958185637390049
14820,32825,21367,14728,13605,882,0.923750678978816
14860,918892,36013,491349,445341,6601,0.906363908342136
14940,49660,26689,22618,21213,1117,0.937881333451234
15020,34850,20787,14586,13464,586,0.923076923076923
15060,22344,19938,9297,8107,1362,0.872001720985264
15100,31973,19734,18797,17929,2020,0.953822418471033
15140,18673,18719,8586,7440,704,0.866526904262753
15180,405819,16512,157250,142270,1372,0.904737678855326
15220,38018,21021,15833,15239,1241,0.962483420703594
15260,112026,24139,54284,48420,1019,0.89197553606956
15340,43623,22350,20416,18337,1216,0.898168103448276
15380,1135411,26399,584171,535074,3274,0.915954403761912
15420,42722,20648,19988,18441,739,0.922603562137282
15460,47543,23735,24037,22176,1400,0.922577692723718
15500,151170,24390,77750,70408,1024,0.905569131832797
15540,211581,29053,123329,115729,3930,0.938376213218302
15580,34164,21816,17294,16171,1373,0.935064184110096
15620,47639,20830,22482,19129,1416,0.850858464549417
15660,55192,22073,25949,23399,884,0.901730317160584
15700,32570,25508,17298,15159,1724,0.876344086021505
15740,40056,21061,18559,16438,1064,0.885715825206099
15780,31267,18377,14465,12706,374,0.878396128586243
15820,24514,18813,11275,9930,675,0.880709534368071
15860,47006,19506,15940,14687,771,0.921392722710163
15900,36989,23146,16670,15281,1523,0.916676664667067
15940,404421,23771,204770,183983,1580,0.898486106363237
15980,624155,25329,285545,247459,1949,0.866619972333608
16020,96226,21548,48694,44898,930,0.922043783628373
16060,59992,17533,29488,26709,1780,0.90575827455236
16100,53693,25192,26587,24561,466,0.923797344566893
16180,55184,26722,28404,23583,1316,0.830270384452894
16220,75876,28134,42274,39868,1107,0.943085584520036
16260,45984,19320,21657,18819,1068,0.868956919240892
16300,258684,30002,142519,135077,1962,0.947782400943032
16340,41350,20891,18774,16213,890,0.863587940769149
16380,40866,26836,21507,19980,1519,0.928999860510531
16420,31399,20702,12798,11764,539,0.919206125957181
16460,39319,21857,19193,17096,1187,0.890741416141302
16500,75399,22775,33965,29672,1545,0.873605181804799
16540,149554,27058,75581,70019,1881,0.926410076606555
16580,231655,23163,123775,114762,2885,0.927182387396486
16620,303995,24719,141826,131631,654,0.928116142315231
16660,64727,19406,33808,30274,1677,0.895468528159016
16700,669157,26480,352058,308166,1019,0.87532736083259
16740,1766452,28252,949342,848674,1669,0.893960237722549
16820,201909,29713,101998,96167,1880,0.942832212396322
16860,528667,23304,267414,240255,1132,0.898438376449999
16900,33028,19066,14754,12436,550,0.842890063711536
16940,91719,30642,49964,44889,1166,0.898426867344488
16980,9460763,30020,5020291,4480753,4544,0.892528540676228
17020,220101,20845,102322,87362,1648,0.853794882820899
17060,77741,22682,34938,29855,1244,0.854513710000573
17140,2129745,27970,1114170,1017578,2076,0.9133058689428
17200,43534,27826,23830,22463,4065,0.942635333613093
17220,93995,21270,42479,39329,567,0.92584571199887
17260,26099,15969,10777,8886,565,0.824533729238192
17300,274404,25236,133366,102539,1014,0.768854130737969
17340,64360,19617,28134,23786,1609,0.845453899196702
17380,34239,15858,14959,12488,810,0.834815161441273
17420,115985,20267,55376,48774,774,0.88077867668304
17460,2074824,26424,1075703,963681,2636,0.895861590048554
17500,38669,18327,17420,14308,1031,0.821354764638347
17540,49074,25226,25776,23994,1531,0.93086592178771
17580,48101,22559,23675,20300,576,0.857444561774023
17620,71596,,22571,18550,394,0.821851047804705
17660,139083,23640,69650,63061,1275,0.905398420674803
17700,35167,21834,17514,15473,1077,0.883464656845952
17740,44920,21650,20143,17698,1380,0.87861788214268
17780,227843,17745,114746,105376,2304,0.918341380091681
17820,645979,29345,343714,288077,1117,0.838129956882757
17860,173426,23843,97665,91106,1410,0.93284185736958
17900,767299,25945,406449,352525,855,0.867328988384767
17940,80965,23909,41164,37450,950,0.909775532018269
17980,297618,23235,145680,116239,800,0.797906370126304
18020,77297,27527,40483,37521,1122,0.926833485660648
18060,59584,20861,28753,23930,680,0.832260981462804
18100,32195,26563,17855,16901,1749,0.946569588350602
18140,1840267,29220,985020,905664,2683,0.919437168788451
18180,146742,31474,81408,76108,5019,0.934895833333333
18220,24220,20082,10645,9006,692,0.846031000469704
18260,105738,18845,46889,42338,724,0.902940988291497
18300,62937,20346,28154,24496,1468,0.870071748241813
18340,35756,15142,13905,12368,499,0.889464221503057
18380,23460,18670,9873,8371,846,0.847867922617239
18420,37027,18423,16701,14751,494,0.88324052451949
18460,43038,22025,18917,17097,1031,0.903790241581646
18500,98992,25209,47617,43191,2302,0.907050003150136
18580,429311,22251,208903,189718,1943,0.908163118768041
18620,47739,21406,22945,20987,1211,0.914665504467204
18660,49453,23333,24702,22769,3080,0.921747226945187
18700,85501,21434,44090,40323,2831,0.914561124971649
18740,36880,21935,17230,15484,1041,0.898665118978526
18820,38207,23486,19260,17458,555,0.90643821391485
18860,28496,19585,10676,9381,1470,0.878699887598352
18880,183400,26887,98574,82531,1347,0.837249173209974
18900,56144,20272,22931,20510,509,0.894422397627666
18940,61611,19270,27711,25305,235,0.913175273357151
18980,80403,20805,37012,33561,311,0.906759969739544
19020,46894,30953,23331,21775,1787,0.933307616475933
19060,102694,20602,46575,42022,1078,0.902243692968331
19100,6400781,29868,3367369,3098480,3225,0.920148638298921
19140,141787,21691,68194,59920,742,0.878669677684254
19180,81463,24172,37568,33279,1406,0.885833688245315
19220,53116,19295,24170,21714,761,0.898386429458006
19260,106503,21038,50879,45077,598,0.885964739873032
19300,183226,25643,88882,81065,587,0.912051934024887
19340,379735,27363,196683,183352,2147,0.932220883350366
19380,842459,25345,426530,379533,2128,0.889815487773427
19460,153478,22397,75064,66544,419,0.8864968560162
19500,110558,25398,54555,48864,1971,0.8956832554303
19540,34343,25479,16678,15377,1012,0.921993044729584
19580,38975,25242,19758,17577,1353,0.889614333434558
19620,48578,19265,22115,18834,1294,0.851639158941895
19660,495581,23100,224345,201019,1642,0.896026209632486
19700,25162,16440,10297,8892,461,0.863552491016801
19740,2554243,32373,1430050,1312357,1751,0.917700080416769
19760,35662,23815,15690,14184,327,0.904015296367113
19780,571592,31603,322469,304100,2546,0.943036384892811
19820,4304617,26772,2144842,1845637,2730,0.860500214001777
19860,25520,27202,14954,14512,1792,0.970442690918818
19900,31733,16222,12935,11022,362,0.852106687282567
19940,35778,25218,17852,16202,2413,0.907573381133767
19980,33725,26122,17354,16194,1533,0.933156620951942
20020,145503,21199,68229,61923,373,0.907575957437453
20060,50921,19981,21147,18913,610,0.894358537854069
20100,162785,27404,81541,71093,883,0.871868139954134
20140,58245,20758,22961,21409,613,0.932407125125212
20180,81668,20923,38429,34880,1227,0.907647870098103
20220,93776,25782,52289,49712,1839,0.950716211822754
20260,279417,23990,144743,132410,1433,0.914793806954395
20300,21765,23114,10895,10292,1112,0.944653510784764
20340,44848,22604,20661,19081,586,0.923527418808383
20380,115559,23141,54694,45037,1084,0.823435843054083
20420,51443,27914,29225,27400,953,0.937553464499572
20460,42494,19770,19848,17935,597,0.903617492946393
20500,506459,26869,269107,246851,2047,0.917296837317498
20540,38234,20765,17939,16358,752,0.911867997101288
20580,54107,14684,22095,19706,1051,0.891875990042996
20620,107598,21163,51838,46118,1144,0.889656236737529
20660,37746,29949,19321,17721,1855,0.91718855131722
20700,169346,24606,87889,76469,3800,0.870063375393963
20740,161314,24325,90352,84269,2553,0.932674428900301
20780,59222,34781,37817,35674,2164,0.943332363751752
20820,34258,25614,18490,17441,1815,0.943266630611141
20900,41153,20174,20368,18931,1461,0.929448153967007
20940,173487,16693,71327,58215,1393,0.816170594585501
20980,41594,19650,18583,16952,432,0.912231609535597
21020,63930,23222,31380,26624,1224,0.848438495857234
21060,118688,25196,58306,47422,916,0.81332967447604
21120,22519,23981,10203,9899,528,0.970204841713222
21140,198214,24289,100351,89276,1227,0.889637372821397
21220,50942,32160,26859,25457,1027,0.947801481812428
21260,40954,20274,20649,18592,1937,0.900382585113081
21300,88779,24876,42129,39060,2393,0.927152317880795
21340,801115,19308,357931,314337,2273,0.878205575935027
21380,36891,20099,20073,18664,1449,0.929806207343197
21420,60272,23651,30599,27703,704,0.905356384195562
21460,100095,24175,47083,39191,421,0.832381114202578
21500,280181,22468,140498,127574,2097,0.908012925450896
21540,37075,21009,17694,15824,1329,0.894314456878038
21580,40201,21954,18892,16346,572,0.86523396146517
21640,30011,16105,11522,9940,344,0.86269744835966
21660,351794,22165,175883,155471,2145,0.883945577457742
21700,134317,20899,66478,59383,1750,0.893272962483829
21740,20942,25699,10916,10305,948,0.944027116159766
21780,358402,25612,184040,171136,895,0.929884807650511
21820,97523,32844,55029,46244,2789,0.840356902724018
21860,20727,25876,10722,10252,949,0.956164894609215
21900,56460,21837,26225,24780,615,0.944899904671115
21940,70633,,27240,21886,582,0.80345080763583
21980,24779,27970,11904,9880,1211,0.82997311827957
22020,209177,27306,127201,121114,2408,0.952146602621049
22060,64171,24501,35452,33135,1979,0.934644025724924
22100,65246,19238,27905,25108,821,0.899767066833901
22140,128600,25060,56842,52754,709,0.928081348298793
22180,366697,25946,184863,133797,1353,0.723763002872397
22220,464729,24931,232692,217118,953,0.933070324721091
22260,57381,25215,29463,27638,1181,0.938057903132743
22280,51797,24926,23177,18916,1276,0.816153945722052
22300,75043,25527,40175,36758,1478,0.914947106409459
22340,27258,16878,10988,9486,658,0.863305424099017
22380,134011,21320,70960,64896,1353,0.914543404735062
22420,425337,23985,192565,161470,1965,0.838522057487082
22500,205214,21661,98208,85904,420,0.874714890843923
22520,146979,21525,67471,61311,471,0.908701516206963
22540,101577,26604,57001,52915,2746,0.92831704706935
22580,67446,19862,29873,25426,743,0.851136477755833
22620,28089,17469,10815,9433,368,0.872214516874711
22660,300870,26964,170089,156358,1605,0.919271675416988
22700,37895,22860,19928,18033,1246,0.904907667603372
22780,51620,21565,30029,15104,781,0.502980452229512
22800,42823,22578,21216,19561,1073,0.921992835595777
22820,28200,23101,13786,12758,903,0.925431597272595
22840,70949,19561,31476,27992,318,0.889312492057441
22860,51542,25904,24910,18018,296,0.723323966278603
22900,297576,20076,134906,123165,576,0.912969030287756
22980,27531,21054,13189,11310,1252,0.857532792478581
23060,416851,27191,213738,193720,995,0.906343280090578
23140,33179,23425,16657,15054,757,0.903764183226271
23180,70841,27110,36260,33020,1178,0.910645339216768
23240,24777,26304,12358,11721,2325,0.948454442466419
23300,47532,23431,24390,21580,2452,0.884788847888479
23340,36590,24336,19825,18540,1941,0.935182849936948
23380,60842,25604,30902,28393,1288,0.918807844152482
23420,930517,20776,424620,364567,1721,0.858572370590175
23460,104317,20362,44970,39772,413,0.884411830108962
23500,55351,19032,24537,20998,490,0.855768838896361
23540,264853,22305,133537,122241,1875,0.915409212428016
23580,180831,25983,87953,80419,1457,0.914340613736882
23620,38427,25366,19588,17888,1885,0.913212170716765
23660,70421,21591,33419,30358,1536,0.908405398126814
23700,71888,16652,26444,23303,948,0.881220692784753
23780,36608,25365,19427,18709,1454,0.963041128326556
23820,47056,30856,23841,20959,1860,0.879115808900633
23860,60285,21384,26001,22258,822,0.856043998307757
23900,101352,27078,54675,51427,2482,0.940594421582076
23940,45840,38485,26594,25542,1087,0.960442205008649
23980,52303,19641,24490,22585,678,0.922213148223765
24020,128808,26433,66286,60554,2853,0.913526234800712
24100,55358,24822,26769,24110,2403,0.900668683925436
24140,122419,22679,61237,50688,915,0.827734866175678
24180,59605,27591,28079,26240,1671,0.934506214608782
24220,98316,24515,56635,52746,2056,0.931332215061358
24260,72754,25163,40291,38155,1978,0.946985679183937
24300,146562,26093,74231,68370,1093,0.921043768775848
24340,777159,25114,401622,359418,2190,0.894916115153054
24380,27293,17639,11296,9106,509,0.806126062322946
24420,82636,20006,34659,29934,1304,0.863671773565308
24460,27556,24639,14781,13840,1184,0.936337189635343
24500,81248,24115,42032,36774,1457,0.874904834411877
24540,253552,27262,129932,120443,1246,0.926969491734138
24580,306758,28316,168389,156762,2862,0.930951546716235
24620,68755,18954,31310,28113,531,0.897892047269243
24660,724408,24573,374839,334542,1331,0.892495177929725
24700,25772,24825,13188,11934,726,0.9049135577798
24740,51010,16180,22203,17518,633,0.788992478493897
24780,189337,20524,100058,88744,1169,0.886925583161766
24820,52776,23166,26365,23789,1174,0.902294708894368
24860,638721,23174,318480,286079,850,0.898263627229339
24900,42749,15149,15567,12859,531,0.826042268902165
24940,69531,21002,32566,27897,719,0.856629613707548
24980,21886,18508,9887,8797,669,0.889754222716699
25020,84017,,28283,21261,612,0.751723650249266
25060,249811,23653,125843,107599,882,0.855025706634457
25100,20620,24755,10748,10014,498,0.931708224786007
25180,269799,27239,138485,124762,1525,0.900906235332346
25220,121209,20707,58924,52221,485,0.886243296449664
25260,151982,22456,65687,51920,1427,0.790415150638635
25300,38901,22133,19143,17977,842,0.939090006790994
25340,54027,21962,24528,22088,824,0.900521852576647
25380,24975,19980,10765,9562,966,0.888248954946586
25420,548996,29757,294758,273522,2286,0.927954457555011
25460,45318,19915,20398,18780,527,0.92067849789195
25500,125396,20852,61639,57812,1121,0.937912685150635
25540,1211280,32913,662866,603557,4693,0.910526411069507
25580,37796,24844,20369,19301,1798,0.947567381805685
25620,143175,20884,70042,62548,1003,0.893007052911111
25660,16157,22937,7969,7533,1435,0.945287990964989
25700,28525,22151,17459,16643,1726,0.953261927945472
25720,23661,28330,11752,11152,1640,0.948944860449285
25740,74792,29710,40623,38002,1866,0.93547990054895
25760,21646,16056,9056,7373,366,0.814156360424028
25780,45183,19280,19524,17204,883,0.881171891005941
25820,19275,23450,8590,8091,1346,0.941909196740396
25860,364529,21880,178897,158710,843,0.88715853256343
25900,185399,25779,92167,83150,760,0.902166719107707
25940,187108,26521,91890,76082,1206,0.827968222875177
25980,79151,25815,39145,27891,1409,0.712504789883766
26020,64670,25378,29083,26623,437,0.91541450331809
26100,264835,25281,140103,127843,2338,0.912492951614169
26140,140805,20451,53183,44796,1022,0.842299230957261
26180,955215,31358,513617,447382,1607,0.871042041053937
26220,22207,25116,12075,11327,2247,0.938053830227743
26260,31551,18535,14883,13315,359,0.894644896862192
26300,96249,21122,43404,39260,661,0.904524928578011
26340,38687,17886,18017,16366,1137,0.908364322584226
26380,208119,23415,99106,92823,408,0.936603232902145
26420,5962416,28503,3048340,2808873,3079,0.921443474153146
26460,62881,28407,32658,29897,3854,0.915457162104232
26480,49594,20753,22715,19772,690,0.870438036539732
26500,45931,21394,20499,18869,1092,0.920483926045173
26540,37144,23430,19816,17541,869,0.885193782801776
26580,287234,20918,124809,114233,707,0.91526252113229
26620,417974,27938,216697,194868,671,0.899264872148669
26660,67447,23957,23595,22349,1583,0.947192201737656
26700,17372,25274,9517,9172,1335,0.963749080592624
26740,64346,24323,31949,30060,1453,0.940874518764281
26780,36527,29348,20083,18892,1920,0.940696111138774
26820,130117,23673,62135,58166,1189,0.936122958075159
26860,88648,19987,42933,39435,1587,0.918524212144504
26900,1759791,28632,930248,846267,1443,0.909721923616068
26940,29230,14043,10557,8333,678,0.789334091124372
26980,153392,26222,90196,86219,2543,0.955907135571422
27020,30772,22564,14883,13547,1531,0.910233151918296
27060,101570,23367,53251,50091,4066,0.940658391391711
27100,160257,23247,75223,66072,1701,0.878348377490927
27140,540752,24649,264082,240503,928,0.910713339038632
27180,115019,21473,56229,49652,796,0.883031887460207
27220,31333,30571,19694,18405,2647,0.934548593480248
27260,1349130,27650,704084,619267,1660,0.87953568040177
27300,40866,25038,21087,19503,1638,0.924882629107981
27340,176461,24617,96267,57772,939,0.600122575752854
27380,50690,20086,20893,19527,934,0.934619250466664
27420,20965,25891,11428,11043,1490,0.966310815540777
27460,134599,21513,64637,59318,2277,0.91770967093151
27500,160356,26201,83596,75146,2820,0.898918608545863
27540,54844,26369,28832,27267,977,0.945720033296337
27580,16600,,6112,4582,273,0.74967277486911
27620,149414,27864,76152,71765,1079,0.942391532724026
27660,31529,21376,13190,12011,199,0.910614101592115
27700,30157,18894,12638,11114,689,0.879411299256211
27740,198658,20610,94592,86929,762,0.918988920838972
27780,143305,21897,66335,60829,1196,0.916997060375367
27860,121215,20994,58652,52908,565,0.902066425697333
27900,174807,21396,86518,79336,731,0.916988372361821
27940,31636,38721,18370,17186,2859,0.935547087642896
27980,154937,30056,86585,79206,911,0.914777386383323
28020,326853,22359,169551,149945,2314,0.884365176259651
28060,90967,23882,46661,42564,1869,0.912196481001265
28100,113170,24614,56460,50106,3010,0.887460148777896
28140,2035166,30174,1093951,1005930,2073,0.919538443678008
28180,67113,28964,35302,32492,1122,0.920401110418673
28260,52844,24491,30377,29188,2034,0.96085854429338
28300,77106,25820,43658,39680,4685,0.908882679004993
28340,47547,24469,24287,21488,877,0.884753160126817
28380,31970,17714,12518,11234,566,0.897427704106087
28420,254104,27022,122429,113449,1831,0.926651365281102
28500,49469,22945,22213,20690,1916,0.931436546166659
28540,13525,33070,7577,6611,2237,0.872508908539
28580,73475,26667,41042,37182,2642,0.905950002436528
28620,34019,29787,19896,18127,1438,0.911087655810213
28660,405720,27159,198097,151115,2136,0.762833359414832
28700,308899,20994,142464,129612,757,0.909787735849057
28740,182516,27925,96543,87616,4673,0.907533430699274
28780,32376,17682,15233,13252,1309,0.869953390665004
28820,59372,20724,28155,24280,938,0.862369028591724
28860,29939,15655,13839,12801,807,0.924994580533276
28900,66350,20976,30967,26952,1177,0.870345852036038
28940,699097,25066,352834,325755,1017,0.923252861118826
28980,13710,28010,7869,6529,2098,0.829711526242216
29020,98831,25216,46497,41271,775,0.887605651977547
29060,60206,30594,32686,30713,3798,0.939637765404149
29100,133719,25532,76111,71709,2814,0.94216341921667
29140,202238,21199,105708,97052,1010,0.918114050024596
29180,273945,24616,143737,133870,665,0.931353791995102
29220,40629,17569,15772,13729,478,0.870466649759067
29260,25670,21076,11956,10939,1353,0.914938106390097
29300,67146,20894,31875,27585,1187,0.865411764705882
29340,199241,22593,96331,87952,359,0.913018654431076
29380,67546,20917,29996,24236,1108,0.807974396586211
29420,201216,20816,81278,69713,931,0.857710573586948
29460,604562,22678,274745,241637,1229,0.879495532220787
29500,13761,20963,5211,4838,820,0.928420648627903
29540,519913,27030,271175,252602,2819,0.931509173043238
29580,76364,22326,35227,30315,681,0.860561501121299
29620,464458,25020,241626,217882,2603,0.901732429457095
29660,36186,19434,20642,19700,1253,0.954364887123341
29700,250320,17679,104108,96893,2435,0.930696968532678
29740,208794,19605,98103,85907,884,0.875681681498018
29780,29225,17906,11978,10831,584,0.904241108699282
